tablet_num	subject	relation_type	object	subject_tag	object_tag
P140385	dub-sar	dumu	ur-gesz-sza3-ga	N	PN
P140386	dub-sar	dumu	ur-ki-ag2-mu	N	PN
P140387	dub-sar	dumu	ur-nigar{gar}	N	PN
P140388	dub-sar	dumu	ur-{gesz}gigir	N	PN
P140389	dub-sar	dumu	na-silim	N	PN
P140391	dub-sar	dumu	ur-nigar{gar}	N	PN
P140392	dub-sar	dumu	la-ni-mu	N	PN
P140393	ab-ba-gi-na	dumu	a-ri2-bi	PN	PN
P140393	dub-sar	dumu	lugal-ma2-gur8-re	N	PN
P140394	dub-sar	dumu	ur-e11-e	N	PN
P140396	dub-sar	dumu	ur-e11-e	N	PN
P140398	dub-sar	dumu	ur-e11-e	N	PN
P140399	dub-sar	dumu	{d}szara2-za-me	N	PN
P140400	lu2-u18	dumu	bi2-du11-ga	PN	PN
P140401	dub-sar	dumu	dingir-ra	N	PN
P140402	in-sa6-sa6	dumu	bi2-du11	PN	V
P140404	dub-sar	dumu	lugal-e2-mah-e	N	PN
P140405	dub-sar	dumu	ur-e11-e	N	PN
P140406	dub-sar	dumu	ur-sa6-ga	N	PN
P140407	lugal-nig2-lagar-e	dumu	iri-bar-re	PN	N
P140408	dub-sar	dumu	lu2-sa6-ga	N	PN
P140409	dub-sar	dumu	lu5-lu5-ni	N	PN
P140410	dub-sar	dumu	ba-sa6	N	PN
P140411	dub-sar	dumu	szesz-kal-la	N	PN
P140412	dub-sar	dumu	szesz-kal-la	N	PN
P140413	dub-sar	dumu	lugal-e2-mah-e	N	PN
P140415	dub-sar	dumu	ur-e11-e	N	PN
P140416	dub-sar	dumu	ur-nigar{gar}	N	PN
P140417	dub-sar	dumu	ukken-ne2	N	PN
P140418	dub-sar	dumu	ur-nigar{gar}	N	PN
P140419	ur-mes	dumu	na-ba	PN	PN
P140420	dub-sar	dumu	ur-e11-e	N	PN
P140421	ur2-dingir	dumu	bar-ra-an-e11-de3	PN	PN
P140421	dub-sar	dumu	ur-nigar{gar}	N	PN
P140422	na-ba-sa6	dumu	he2-sa6	PN	PN
P140423	dub-sar	dumu	ur-nigar{gar}	N	PN
P140424	dub-sar	dumu	lu2-{d}szara2	N	PN
