tablet_num	subject	relation_type	object	subject_tag	object_tag
P100001	sza3-gu4	dumu	x-x	PN	PN
P100002	szesz-kal-la	dumu	a-ri2-bi-ta	PN	PN
P100005	lu2-saga	dumu	ur-{d}nin-mug-ga	PN	PN
P100006	us2-sa-a-bi	dumu	...	V	PN
P100008	i7-pa-e3	dumu	lugal-uszur3	PN	PN
P100009	dub-sar	dumu	...	N	PN
P100010	dub-sar	dumu	...	N	PN
P100011	dub-sar	dumu	lugal-uszur3	N	PN
P100012	dub-sar	dumu	da-da	N	PN
P100013	dub-sar	dumu	...	N	PN
P100014	dub-sar	dumu	ur-e11-e	N	PN
P100015	dub-sar	dumu	ur-e11-e	N	PN
P100041	dub-sar	dumu	...	N	PN
P100042	dub-sar	dumu	ur-nigar{gar}	N	PN
P100043	dub-sar	dumu	nigar{gar}-ki-du10	N	PN
P100057	lugal-nig2-lagar-e	dumu	lugal-e2-mah-e-ke4	PN	PN
P100063	dub-sar	dumu	ur-nigar{gar}	N	PN
P100065	dub-sar	dumu	ur-nigar{gar}	N	PN
P100066	lu2-eb-gal	dumu	lugal-szuba3-sze3	PN	PN
P100068	gur	nin	1(asz)	N	NU
P100070	ur-{d}utu	dumu	bar-ra-an	PN	PN
P100072	mu	dumu	lugal	N	N
P100080	dub-sar	dumu	a2-an-du-ru	N	PN
P100081	lu2-{d}szara2	dumu	al-la	PN	V
P100090	dub-sar	dumu	lu2-ku3-ga-ni	N	PN
P100093	dub-sar	dumu	inim-ma	N	N
P100098	dub-sar	dumu	lu2-gi-na	N	PN
P100100	saga	dam	ensi2-ka	V	N
P100101	dub-sar	dumu	x-...	N	PN
P100102	dub-sar	dumu	ur-...	N	PN
P100112	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100113	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100114	dub-sar	dumu	...	N	PN
P100115	nigar{gar}-ki-du10	dumu	lu2-sa6-ga	PN	PN
P100129	dub-sar	dumu	ur-nigar{gar}	N	PN
P100137	lugal-nig2-lagar-e	dumu	ur-e2-nun	PN	PN
P100138	ba-du3	dumu	...	V	PN
P100143	3(disz)	dumu	nin-x-...	NU	PN
P100143	geme2-{d}li9-si4	dumu	geme2-x-...	PN	PN
P100143	geme2-{d}szara2	dumu	lu2-...	PN	PN
P100146	lugal-nesag-e	dumu	nu-banda3	PN	N
P100149	szu-{d}en-lil2	dumu	nu-banda3	PN	N
P100149	da-da-ni	dumu	nu-banda3	PN	N
P100156	dub-sar	dumu	x-{d}x	N	PN
P100159	ur-{d}ba-ba6	dumu	x-...	PN	PN
P100161	dub-sar	dumu	da-da	N	PN
P100162	dub-sar	dumu	na-mu	N	PN
P100163	dub-sar	dumu	ur-{d}ba-ba6	N	PN
P100163	gudu4	dumu	ur-nigar{gar}	N	PN
P100166	2(disz)	dumu	3(ban2)-ta	NU	NU
P100166	5(disz)	dumu	2(ban2)-ta	NU	NU
P100166	8(disz)	dumu	1(ban2)	NU	NU
P100166	1(disz)	dumu	1(ban2)	NU	NU
P100166	3(disz)	dumu	3(ban2)-ta	NU	NU
P100166	6(disz)	dumu	2(ban2)-ta	NU	NU
P100166	1(disz)	dumu	1(ban2)	NU	NU
P100166	1(disz)	dumu	3(ban2)	NU	NU
P100166	5(disz)	dumu	2(ban2)-ta	NU	NU
P100166	4(disz)	dumu	1(ban2)-ta	NU	NU
P100166	1(disz)	dumu	3(disz)	NU	NU
P100166	5(disz)	dumu	2(ban2)-ta	NU	NU
P100166	4(disz)	dumu	1(ban2)-ta	NU	NU
P100166	gur	dumu	diri	N	N
P100166	sze	dumu	diri	N	N
P100167	dub-sar	dumu	...	N	PN
P100168	ka5-a	dumu	ur5-bi-sze3	N	DET
P100168	dub-sar	dumu	ur5-bi-sze3	N	DET
P100170	dub-sar	dumu	na-mu	N	PN
P100171	dub-sar	dumu	na-mu	N	PN
P100174	dub-sar	dumu	szesz-szesz	N	PN
P100174	dub-sar	dumu	ARAD2-mu	N	PN
P100175	ur-{d}lamma	dumu	nam-mah	RN	PN
P100175	ur-sze-il2-la	dumu	nam-mah-ke4	PN	PN
P100175	ur-wa-wa	dumu	lugal-inim-gi-na	PN	PN
P100175	ur-nig2	dumu	lu2-eb	PN	PN
P100175	lu2-gu-la	dumu	uszum-mu2	PN	PN
P100175	ur-sa6-ga	dumu	lu2-szu-ak	PN	PN
P100181	dub-sar	dumu	nig2-{d}ba-ba6	N	PN
P100187	dub-sar	dumu	ur-usz-gid2-da	N	PN
P100188	x	dumu	x	N	N
P100188	x	dumu	x	N	N
P100195	lu2-{d}nin-gir2-su	dumu	i3-kal-la	PN	PN
P100201	a-a-kal-la	dumu	nu-banda3	PN	N
P100201	lu2-{d}szakkan2	dumu	nu-banda3	PN	N
P100201	gab2-gab2	dumu	nu-banda3	N	N
P100209	ur-{d}szara2	dumu	ur-mes	PN	PN
P100209	{d}szara2-kam	dumu	na-u2-a	PN	PN
P100209	lugal-nesag-e	dumu	da-a-gi4	PN	PN
P100213	ur-dub-la2	dumu	PI-...	PN	PN
P100215	igi-kar2	e2-gi4-a	ur-{d}iszkur	N	PN
P100237	dub-sar	dumu	lugal-uszur3	N	PN
P100239	dub-sar	dumu	lugal-uszur4	N	PN
P100240	dub-sar	dumu	lugal-uszur3	N	PN
P100256	dub-sar	dumu	ur-nigar{gar}	N	PN
P100257	dub-sar	dumu	ur-e11-e	N	PN
P100278	du11-ga-zi-da	dumu	ur-x-ma	PN	PN
P100293	dub-sar	dumu	x-...	N	PN
P100294	ARAD2-mu	dumu	szu-{d}iszkur	PN	PN
P100294	nin-kal-la	dumu	szu-x	PN	PN
P100294	hu-wa-wa	dumu	nig2-du6	PN	PN
P100306	ur-{d}lamma	dumu	al-la	RN	V
P100306	lu2-kal-la	dumu	al-la	PN	V
P100307	x-...	dumu	ma-an-ba	PN	PN
P100309	ur-{d}ba-ba6	dumu	ur-sa6-ga	PN	PN
P100309	a-hu-a	dumu	ma-ba	PN	PN
P100313	gu-ub-{d}utu	dumu	nu-banda3	PN	N
P100317	ma-an-zi-da	dumu	lu2-sukkal-an-na	PN	PN
P100317	ma-an-na	dumu	hu-wa-wa	PN	PN
P100318	dub-sar	dumu	un-i-gi-ir	N	PN
P100322	dub-sar	dumu	ur-nigar{gar}	N	PN
P100324	dub-sar	dumu	ur-nigar{gar}	N	PN
P100325	lu2-sa6-ga	dumu	ur-ki-ag2-ga2-mu	PN	PN
P100328	dub-sar	dumu	i-di3-er3-ra	N	PN
P100332	zi-ni-a	ama	ku-ba-tum	PN	PN
P100340	dub-sar	dumu	ur-{gesz}gigir	N	PN
P100341	dub-sar	dumu	lugal-ku3-ga-ni	N	PN
P100343	sza-at-{d}suen	dam	{d}szul-gi	PN	RN
P100344	sza-at-{d}suen	dam	{d}szul-gi	PN	RN
P100345	dub-sar	dumu	nigar{gar}-ki-du10	N	PN
P100347	dub-sar	dumu	ur-ki-ag2-mu	N	PN
P100348	dub-sar	dumu	lugal-uszur3	N	PN
P100349	dub-sar	dumu	lugal-nesag-e	N	PN
P100350	dub-sar	dumu	lugal-...	N	PN
P100379	dub-sar	dumu	ur-nigar{gar}	N	PN
P100380	dub-sar	dumu	lugal-{d}nin-szubur	N	PN
P100381	szabra	dumu	ur-dingir-ra	N	PN
P100382	dub-sar	dumu	lugal-en-...	N	PN
P100383	dub-sar	dumu	lugal-ezem	N	PN
P100385	dub-sar	dumu	lu2-sa6-ga	N	PN
P100386	dub-sar	dumu	ur-nigar{gar}	N	PN
P100387	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100388	dub-sar	dumu	lugal-uszur3	N	PN
P100389	dub-sar	dumu	lugal-uszur3	N	PN
P100393	dub-sar	dumu	lugal-uszur3	N	PN
P100394	dub-sar	dumu	lugal-{d}suen	N	PN
P100395	dub-sar	dumu	ur-{d}isztaran	N	PN
P100397	dub-sar	dumu	na-silim	N	PN
P100401	dub-sar	dumu	du11-ga	N	PN
P100403	dub-sar	dumu	ur-nigar{gar}	N	PN
P100404	dub-sar	dumu	ur-nigar{gar}	N	PN
P100405	dub-sar	dumu	ur-nigar{gar}	N	PN
P100406	dub-sar	dumu	ur-nigar{gar}	N	PN
P100407	dub-sar	dumu	ur-nigar{gar}	N	PN
P100411	dub-sar	dumu	ur-nigar{gar}	N	PN
P100412	dub-sar	dumu	ur-nigar{gar}	N	PN
P100413	dub-sar	dumu	ur-nigar{gar}	N	PN
P100415	ku3-ga-ni	dumu	ur-{d}szul-gi	N	PN
P100416	dub-sar	dumu	ur-{d}szul-gi	N	PN
P100417	dub-sar	dumu	ur-{d}szul-gi	N	PN
P100419	dub-sar	dumu	ur-{d}szul-gi	N	PN
P100420	dub-sar	dumu	ur-{d}szul-gi	N	PN
P100421	dub-sar	dumu	ur-{d}szul-gi	N	PN
P100422	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100423	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100424	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100425	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100426	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100427	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100428	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100429	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100430	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100431	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100432	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100433	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100434	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100435	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100437	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100438	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100440	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100441	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100442	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100443	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100444	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100445	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100446	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100447	dub-sar	dumu	ur-nigar{gar}	N	PN
P100448	dub-sar	dumu	lugal-nesag-e	N	PN
P100449	dub-sar	dumu	ur-nigar{gar}	N	PN
P100450	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100451	dub-sar	dumu	lugal-uszur3	N	PN
P100452	szabra	dumu	ur-dingir-ra	N	PN
P100454	dub-sar	dumu	en-u2-a	N	PN
P100458	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100462	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100464	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100465	dub-sar	dumu	szesz-kal-la	N	PN
P100467	dub-sar	dumu	lugal-uszur3	N	PN
P100468	dub-sar	dumu	ur-{d}isztaran	N	PN
P100470	dub-sar	dumu	...	N	PN
P100472	dub-sar	dumu	lugal-szu-nir-re	N	PN
P100473	dub-sar	dumu	ur-{d}isztaran	N	PN
P100474	ab-ba	dumu	a-kal-la	N	PN
P100474	dub-sar	dumu	a-kal-la	N	PN
P100480	dub-sar	dumu	ur-{gesz}gigir	N	PN
P100483	dub-sar	dumu	ur-{d}isztaran	N	PN
P100485	dub-sar	dumu	ur-nigar{gar}	N	PN
P100486	dub-sar	dumu	lugal-uszur3	N	PN
P100487	dub-sar	dumu	lu2-ga	N	PN
P100490	dub-sar	dumu	lu2-{d}szara2	N	PN
P100491	lugal-e2-mah-e	dumu	sa12-du5	PN	N
P100491	dub-sar	dumu	lugal-ku3-ga-ni	N	PN
P100493	dub-sar	dumu	ka-tar	N	PN
P100494	dub-sar	dumu	lu2-ga	N	PN
P100496	lugal-nig2-lagar-e	dumu	i3-li2-mu	PN	PN
P100496	lugal-nig2-lagar-e	dumu	i3-li2-mu	PN	PN
P100503	dub-sar	dumu	lugal-sa6-ga	N	PN
P100504	dub-sar	dumu	ur-nigar{gar}	N	PN
P100505	dub-sar	dumu	ur-{d}isztaran	N	PN
P100507	dub-sar	dumu	lugal-iti-da	N	PN
P100508	dub-sar	dumu	ur-nigar{gar}	N	PN
P100510	dub-sar	dumu	a-kal-la	N	PN
P100512	dub-sar	dumu	a-kal-la	N	PN
P100513	dub-sar	dumu	a-kal-la	N	PN
P100514	lugal-a2-zi-da	dumu	da-da-ga	PN	PN
P100518	dub-sar	dumu	lugal-nesag-e	N	PN
P100519	dub-sar	dumu	ur-nigar{gar}	N	PN
P100523	a-da-ga	dumu	ur-ab-zu	N	PN
P100525	dub-sar	dumu	ur-nigar{gar}	N	PN
P100526	inim-{d}inanna	dumu	lugal-...	PN	PN
P100528	dub-sar	dumu	ur-nigar{gar}	N	PN
P100529	dub-sar	dumu	a-kal-la	N	PN
P100531	dub-sar	dumu	ur-{d}suen	N	PN
P100532	dub-sar	dumu	ur-{d}nin-su	N	PN
P100535	dub-sar	dumu	{d}nanna-i3-zu	N	PN
P100536	dub-sar	dumu	ur-{gesz}gigir	N	PN
P100538	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100539	dub-sar	dumu	ab-...	N	PN
P100540	dub-sar	dumu	ur-nigar{gar}	N	PN
P100541	dub-sar	dumu	ur-nigar{gar}	N	PN
P100542	dub-sar	dumu	ur-nigar{gar}	N	PN
P100543	dub-sar	dumu	ur-nigar{gar}	N	PN
P100544	dub-sar	dumu	...	N	PN
P100546	dub-sar	dumu	ur-{d}nin-su	N	PN
P100547	dub-sar	dumu	lugal-ma2-gur8-re	N	PN
P100548	dub-sar	dumu	lugal-ma2-gur8-re	N	PN
P100549	dub-sar	dumu	lugal-ku3-ga-ni	N	PN
P100550	dub-sar	dumu	ur-nigar{gar}	N	PN
P100551	dub-sar	dumu	da-da	N	PN
P100554	ki-lu5-la	dumu	ur-{d}szara2	PN	PN
P100555	ur-ab-zu	dumu	lugal-uszur3	PN	PN
P100556	ur-ab-zu	dumu	lugal-uszur3	PN	PN
P100558	nir-i3-da-gal2	dumu	lugal-nesag-e	PN	PN
P100560	dub-sar	dumu	ur-nigar{gar}	N	PN
P100561	dub-sar	dumu	ur-e11-e	N	PN
P100562	dub-sar	dumu	lu2-dingir-ra	N	PN
P100565	dub-sar	dumu	ab-ba	N	N
P100566	dub-sar	dumu	da-da	N	PN
P100567	dub-sar	dumu	du-...	N	PN
P100570	dub-sar	dumu	ur-nigar{gar}	N	PN
P100571	nu-banda3-gu4	dumu	lugal-e2-mah-e	N	PN
P100574	lugal-ku3-ga-ni	dumu	ur-mes	PN	PN
P100576	dub-sar	dumu	lugal-...	N	PN
P100577	dub-sar	dumu	{d}szara2-kam	N	PN
P100578	dub-sar	dumu	ur-...	N	PN
P100579	dub-sar	dumu	...	N	PN
P100580	dub-sar	dumu	ur-...	N	PN
P100582	dub-sar	dumu	{d}szara2-kam	N	PN
P100583	dub-sar	dumu	ur-nigar{gar}	N	PN
P100585	dub-sar	dumu	ur-sa6-ga	N	PN
P100587	i7-pa-e3	dumu	lugal-la	PN	N
P100589	dub-sar	dumu	ur-nigar{gar}	N	PN
P100590	dub-sar	dumu	ur-e11-e	N	PN
P100592	dub-sar	dumu	ur-nigar{gar}	N	PN
P100593	dub-sar	dumu	lugal-x	N	PN
P100594	dub-sar	dumu	a2-an-du-ru	N	PN
P100595	dub-sar	dumu	ur-{d}nin-su	N	PN
P100596	dub-sar	dumu	lugal-sa6-ga	N	PN
P100597	dub-sar	dumu	ur-nigar{gar}	N	PN
P100598	dub-sar	dumu	nig2-du10-ga	N	N
P100600	e2	nin	nam-ha-ni	N	N
P100600	dub-sar	dumu	lugal-nesag-e	N	PN
P100601	dub-sar	dumu	ur-...	N	PN
P100602	szabra	dumu	lugal-nesag-e	N	PN
P100603	dub-sar	dumu	ur-{d}szul-pa-e3	N	PN
P100610	lugal-iti-da	dumu	giri3-ni-ta	PN	PN
P100610	a-kal-la	dumu	lu2-du10-ga	PN	PN
P100611	ku3-ga-ni	dumu	a-ab-ba-kal-la	N	PN
P100611	dub-sar	dumu	ur-nigar{gar}	N	PN
P100620	a-kal-la	dumu	lugal-nesag-e	PN	PN
P100620	dub-sar	dumu	lugal-nesag-e	N	PN
P100626	dub-sar	dumu	ku3-ga-ni	N	N
P100635	en-u2-szim	dumu	ARAD2-...	PN	PN
P100636	ansze	ama	e2-gu4-ta	N	PN
P100636	dub-sar	dumu	ur-e2-nun-na	N	PN
P100637	niga	dumu	lugal-sa6-ga	V	PN
P100638	dub-sar	dumu	ukken-ne2	N	PN
P100639	lugal-iti-da	dumu	...	PN	PN
P100642	mu	dumu	lugal	N	N
P100647	szesz-ki-ag2	dumu	KA-...	PN	PN
P100649	niga	dumu	lugal-sa6-ga	V	PN
P100650	dub-sar	dumu	ur-nigar{gar}	N	PN
P100657	dub-sar	dumu	lugal-nesag-e	N	PN
P100659	dub-sar	dumu	lugal-nesag-e	N	PN
P100660	dub-sar	dumu	lugal-nesag-e	N	PN
P100665	dub-sar	dumu	lugal-ku3-ga-ni	N	PN
P100666	dub-sar	dumu	lugal-ku3-ga-ni	N	PN
P100667	dub-sar	dumu	lugal-ku3-ga-ni	N	PN
P100669	dub-sar	dumu	lugal-nesag-e	N	PN
P100674	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100676	dub-sar	dumu	ur-{d}isztaran	N	PN
P100677	dub-sar	dumu	du10-ga	N	V
P100684	inim-{d}szara2	dumu	ur-dingir-ra	PN	PN
P100685	inim-{d}szara2	dumu	ur-dingir-ra	PN	PN
P100686	dub-sar	dumu	ur-nigar{gar}	N	PN
P100687	dub-sar	dumu	ur-nigar{gar}	N	PN
P100688	dub-sar	dumu	ur-nigar{gar}	N	PN
P100689	dub-sar	dumu	ur-nigar{gar}	N	PN
P100691	ur-{d}szara2	dumu	ab-ba	PN	N
P100693	dub-sar	dumu	lu2-sa6-ga	N	PN
P100694	dub-sar	dumu	lu2-ga	N	PN
P100695	dub-sar	dumu	ur-nigar{gar}	N	PN
P100696	dub-sar	dumu	ur-nigar{gar}	N	PN
P100697	dub-sar	dumu	ur-nigar{gar}	N	PN
P100698	dub-sar	dumu	ur-nigar{gar}	N	PN
P100700	dub-sar	dumu	ur-nigar{gar}	N	PN
P100701	dub-sar	dumu	ur-nigar{gar}	N	PN
P100702	dub-sar	dumu	ur-nigar{gar}	N	PN
P100703	dub-sar	dumu	ur-nigar{gar}	N	PN
P100704	dub-sar	dumu	ur-nigar{gar}	N	PN
P100705	dub-sar	dumu	ur-nigar{gar}	N	PN
P100706	dub-sar	dumu	ur-nigar{gar}	N	PN
P100707	dub-sar	dumu	ur-nigar{gar}	N	PN
P100708	dub-sar	dumu	ur-nigar{gar}	N	PN
P100709	dub-sar	dumu	ur-nigar{gar}	N	PN
P100710	dub-sar	dumu	ur-nigar{gar}	N	PN
P100711	dub-sar	dumu	ur-nigar{gar}	N	PN
P100712	dub-sar	dumu	nigar{gar}-ki-du10	N	PN
P100713	dub-sar	dumu	ur-nigar{gar}	N	PN
P100714	dub-sar	dumu	nigar{gar}-ki-du10	N	PN
P100715	dub-sar	dumu	nigar{gar}-ki-du10	N	PN
P100716	dub-sar	dumu	nigar{gar}-ki-du10	N	PN
P100717	dub-sar	dumu	nigar{gar}-ki-du10	N	PN
P100718	dub-sar	dumu	nigar{gar}-ki-du10	N	PN
P100719	dub-sar	dumu	nigar{gar}-ki-du10	N	PN
P100720	dub-sar	dumu	nigar{gar}-ki-du10	N	PN
P100721	dub-sar	dumu	ur-nigar{gar}	N	PN
P100723	dub-sar	dumu	ur-nigar{gar}	N	PN
P100724	dub-sar	dumu	ur-nigar{gar}	N	PN
P100725	dub-sar	dumu	ur-nigar{gar}	N	PN
P100726	dub-sar	dumu	ur-nigar{gar}	N	PN
P100727	dub-sar	dumu	ur-nigar{gar}	N	PN
P100728	dub-sar	dumu	ur-e11-e	N	PN
P100729	dub-sar	dumu	ur-e11-e	N	PN
P100730	dub-sar	dumu	ur-nigar{gar}	N	PN
P100731	dub-sar	dumu	ur-e11-e	N	PN
P100732	dub-sar	dumu	ur-e11-e	N	PN
P100733	dub-sar	dumu	ur-nigar{gar}	N	PN
P100734	dub-sar	dumu	ur-nigar{gar}	N	PN
P100740	dub-sar	dumu	lugal-uszur3	N	PN
P100741	dub-sar	dumu	ur-e11-e	N	PN
P100742	dub-sar	dumu	da-da-ga	N	PN
P100744	dub-sar	dumu	lugal-ku3-ga-ni	N	PN
P100745	dub-sar	dumu	da-da-ga	N	PN
P100770	dub-sar	dumu	ur-nigar{gar}	N	PN
P100773	dub-sar	dumu	ur-nigar{gar}	N	PN
P100784	szesz-kal-la	dumu	na-silim-ta	PN	PN
P100789	dub-sar	dumu	ur-nigar{gar}	N	PN
P100798	szesz-kal-la	dumu	na-silim	PN	PN
P100802	u3-ma-ni	dumu	...	PN	PN
P100802	en-ku3	dumu	ur-{d}suen	PN	PN
P100804	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100805	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100806	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100807	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100808	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100809	dub-sar	dumu	du10-ga	N	V
P100821	dub-sar	dumu	na-silim	N	PN
P100823	dub-sar	dumu	da-da-ga	N	PN
P100827	dub-sar	dumu	lugal-uszur3	N	PN
P100830	dub-sar	dumu	la-a-sa6	N	PN
P100831	dub-sar	dumu	ur-sa6-ga	N	PN
P100833	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100857	dub-sar	dumu	ur-tur	N	PN
P100859	ensi2	dumu	nina{ki}	N	GN
P100859	ARAD2-{d}nansze	dumu	ba-zi-ge	PN	PN
P100859	ur-{d}ba-ba6	dumu	ur-sa6-ga	PN	PN
P100859	ensi2	dumu	nina{ki}	N	GN
P100859	ARAD2-{d}nansze	dumu	ba-zi-ge	PN	PN
P100862	ur-dun	dumu	lugal-x	PN	PN
P100866	e2-zi-ku3-ga	dumu	ur-{d}la-sza-u18	PN	PN
P100866	ur-{d}li9-si4	dumu	ur-{d}da-mu	PN	PN
P100866	a2-na-na	dumu	a-tu	PN	PN
P100866	ur-{d}ig-alim	dumu	lu2-{d}gesz-pa-e3	PN	PN
P100868	dub-sar	dumu	ba-zi	N	V
P100871	dub-sar	dumu	ma2-gur8-re	N	PN
P100873	dub-sar	dumu	da-da	N	PN
P100874	lugal-ezem	dumu	ur-{d}lamma	PN	RN
P100878	{d}utu-bar-ra	dumu	a-tu	PN	PN
P100884	ha-ba-ku5-ke4	dumu	gu2-gil	PN	PN
P100885	dub-sar	dumu	ur-nigar{gar}	N	PN
P100886	ur-{d}nansze	dumu	lu2-du10-ga	PN	PN
P100886	dub-sar	dumu	lu2-du10-ga	N	PN
P100887	engar	dumu	lugal-dub-la2	N	PN
P100888	du-du	dumu	ensi2	PN	N
P100890	engar	dumu	lu2-sa6-ga	N	PN
P100891	lu2-hu-rim3{ki}	dumu	ur-sa6-ga-ta	PN	PN
P100891	u2-u2	dumu	i3-li2	PN	PN
P100891	u2-u2	dumu	i3-li2	PN	PN
P100892	ur-{d}ba-ba6	dumu	ba-zi-ta	PN	PN
P100895	ur-{d}da-mu	dumu	ga-a	PN	PN
P100895	er2-du8	dumu	e2-nigin-bi-x	N	PN
P100896	ur-{d}ig-alim	dumu	la-la-x	PN	PN
P100902	ur-{d}ig-alim	dumu	ur-tesz2-ta	PN	PN
P100907	ARAD2-{d}ba-ba6	dumu	lugal-sa6-ga	PN	PN
P100911	ur-{d}ba-ba6	dumu	sanga	PN	N
P100911	lu2-dingir-ra	dumu	ga-a-ni	PN	PN
P100911	dub-sar	dumu	ga-a-ni	N	PN
P100913	dub-sar	dumu	ur-x-...	N	PN
P100920	ur-{d}ba-ba6	dumu	ur-sa6-ga	PN	PN
P100921	szuku	dam	ensi2	N	N
P100922	lu2-{d}nin-gir2-su	dumu	sila4-mu	PN	FN
P100922	dub-sar	dumu	sila4-mu	N	FN
P100923	lugal-me3-a	dumu	ur-ma-ma	PN	PN
P100923	ARAD2	dumu	da-da	N	PN
P100923	lu2-{d}nin-szubur	dumu	giri3-ni-i3-sa6	PN	PN
P100923	nig2-{d}ba-ba6	dumu	ki-tusz-lu2-me	PN	PN
P100923	ab-ba-kal-la	dumu	ka5-a	PN	N
P100923	da-da	dumu	ka5-a	PN	N
P100923	ARAD2-mu	dumu	ur3-re-ba-du7	PN	PN
P100923	lugal-ezem	dumu	nam-ha-zu	PN	PN
P100923	ba-zi	dumu	lu2-du10	V	PN
P100924	ur-nigar{gar}	dumu	ur-...	PN	PN
P100925	dub-sar	dumu	ur-{d}nin-gesz-zi-da	N	PN
P100928	lu2-{d}nin-gir2-su	dumu	ba-zi	PN	V
P100930	nam-mah	dumu	ur-{gesz}gigir-sze3	PN	PN
P100930	dub-sar	dumu	nam-mah	N	PN
P100932	ur-{d}ba-ba6	dumu	e2-ab-sza3-ga	PN	PN
P100932	ur-{d}ba-ba6	dumu	e2-ab-sza3	PN	PN
P100933	dub-sar	dumu	ur-x-x	N	PN
P100935	ur-{d}ba-ba6	dumu	ur-i7-edin-na	PN	PN
P100935	dub-sar	dumu	ur-i7-edin-ne	N	PN
P100943	dub-sar	dumu	nimgir-sza3-kusz2-an-na	N	PN
P100949	dub-sar	dumu	lu2-{d}nin-gir2-su	N	PN
P100951	dub-sar	dumu	al-la-mu	N	PN
P100953	dub-sar	dumu	ur-{d}lamma	N	RN
P100955	ur-{d}ba-ba6	dumu	ug3-IL2	PN	PN
P100956	dub-sar	dumu	ba-zi	N	V
P100958	dub-sar	dumu	ur-{d}ig-alim	N	PN
P100960	ba-zi	dumu	na-silim	V	PN
P100964	lu2-me-lam2	dumu	ur-{d}alamusz	PN	PN
P100966	BI	dumu	lu2-x	PN	PN
P100966	mu	dumu-munus	lugal	N	N
P100968	a2-bi2-lum	dumu	ik-szu-dum	N	PN
P100975	u8	dam	szar-ru-um-i3-li2	N	PN
P100975	u8	dam	{d}szul-gi-i3-li2	N	PN
P100975	u8	dam	du-uk-ra	N	PN
P100975	u4	dumu	in-tu-esz-sze3	N	PN
P100977	ur-{d}suen	dumu	szesz-da-da	PN	PN
P100977	la-gi-ip	dumu	i-di3-a-sur{ki}	PN	PN
P100980	dub-sar	dumu	i3-la-x	N	PN
P100982	sza-at-{d}suen	dam	i3-li-e	PN	V
P100986	i3-u3-sza	dumu	me-sza-nu-nu	PN	PN
P101003	ka5-a-mu	dumu	i3-li2-mu	PN	PN
P101012	x	dumu	ur-nigar{gar}	N	PN
P101028	dub-sar	dumu	ur-nigar{gar}	N	PN
P101032	dub-sar	dumu	{d}utu-x-x	N	PN
P101038	gu3-de2-a	dumu	e2-x-ka	PN	PN
P101038	dub-sar	dumu	ur-nigar{gar}	N	PN
P101039	ur-{d}isztaran	dumu	lugal-ma2-gur8-re-ka	PN	PN
P101041	szesz-kal-la	dumu	za3-mu	PN	FN
P101045	dub-sar	dumu	ur-{d}ba-ba6	N	PN
P101047	dub-sar	dumu	ur-nigar{gar}	N	PN
P101059	dub-sar	dumu	ur-nigar{gar}	N	PN
P101060	ur-{d}szara2	dumu	ab-ba	PN	N
P101062	dub-sar	dumu	ur-nigar{gar}	N	PN
P101063	dub-sar	dumu	lugal-uszurx(|LAL2.TUG2|)	N	PN
P101065	dub-sar	dumu	lu2	N	N
P101066	dub-sar	dumu	da-da	N	PN
P101068	dub-sar	dumu	lugal-uszurx(|LAL2.TUG2|)	N	PN
P101069	dub-sar	dumu	ur-x	N	PN
P101070	dub-sar	dumu	...	N	PN
P101073	dub-sar	dumu	KA-...	N	PN
